Date	Shares	Amount	BuyFlag
2004-12-14	15235760.0	716080720.0	1
2005-05-18	29000.0	352350.0	0
2005-09-09	20000.0	292000.0	1
2006-09-01	40900.0	591132.26	0
2006-09-20	11000.0	152460.0	0
2006-09-21	9000.0	124966.0	0
2006-11-08	21000.0	330337.0	0
2006-11-24	2510.0	40322.648	0
2007-03-07	10000.0	174785.0	1
2007-10-19	3000.0	48900.0	0
2007-12-19	28084.0	507670.72	0
2008-03-05	1000.0	14480.0	1
2008-03-20	1005.0	14245.875	1
2008-08-11	10000.0	161600.0	0
2008-08-11	2000.0	32914.0	1
2008-08-20	3200.0	50560.0	1
2009-03-02	2500.0	25225.0	1
2009-03-09	8000.0	72400.0	1
2009-06-25	45000.0	495000.0	0
2009-12-11	5000.0	70550.0	0
2009-12-23	21295.0	313811.638	0
2010-03-02	2500.0	34475.0	1
2010-03-15	5000.0	70701.0	0
2010-09-08	4000.0	60983.2	0
2010-11-03	4000.0	66933.2	0
2010-11-08	76597.0	1260886.1961	0
2010-11-11	54106.0	893809.4776	0
2011-03-03	1001.0	15927.4115	0
2011-03-23	10000.0	169295.0	1
2011-05-09	93639.0	1761611.2815	0
2011-05-20	40000.0	757884.0	0
2011-05-23	100000.0	1875280.0	0
2011-06-22	14000.0	266952.0	0
2011-08-25	2757.0	52833.7695	0
2011-11-04	10000.0	202600.00000000003	0
2011-11-23	6667.0	124872.91	0
2011-11-28	6250.0	118405.0	0
2012-03-02	103377.0	1996633.7157	0
2012-05-15	25000.0	500815.0	0
2012-05-18	8147.0	161168.84219999998	0
2012-08-06	3448.0	72383.864	0
2012-09-17	13000.0	270400.0	0
2012-11-13	8999.0	181779.8	0
2012-11-19	12000.0	233220.0	0
2012-11-27	103900.0	2035608.8	0
2013-05-08	2000.0	48800.2	0
2013-11-11	3000.0	74641.8	0
2013-11-12	35200.0	875666.88	0
2013-12-03	106100.0	2441106.36	0
2014-05-05	10333.0	252538.52	0
2014-06-06	9795.0	236157.45	0
2015-05-13	20000.0	396107.07	1
2015-05-14	10000.0	201500.0	1
2015-05-15	2000.0	40560.0	1
2015-06-01	10000.0	202000.0	1
2015-06-02	10000.0	198000.0	1
2015-11-16	3000.0	51096.0	0
2016-02-18	14520000.0	363000000.0	1
2016-05-13	9000.0	200070.0	0
2016-11-08	17236.0	410480.95	0
2017-04-03	1000.0	27450.0	0
2017-05-01	1000.0	28350.0	0
2017-06-01	1000.0	28670.0	0
2017-07-03	1000.0	27660.0	0
2017-08-01	1000.0	28230.0	0
2017-09-01	1000.0	29610.0	0
2017-10-02	1000.0	29080.0	0
2017-11-01	1000.0	29610.0	0
2017-12-01	1000.0	29390.0	0
2018-01-02	1000.0	28110.0	0
2018-02-01	1000.0	27910.0	0
2018-02-28	43363.0	1179473.6	0
2018-03-01	1000.0	26990.0	0
2018-04-02	4000.0	108520.0	0
2018-05-01	4000.0	101520.0	0
2018-05-08	3200.0	84432.0	0
2018-05-15	62779.0	1638531.9	0
2018-06-01	4000.0	103000.0	0
2018-07-02	4000.0	110280.0	0
2018-08-01	4000.0	111960.0	0
2018-08-08	10000.0	282700.0	0
2018-09-04	4000.0	111240.0	0
2018-10-01	4000.0	110160.0	0
2018-11-01	4000.0	108360.0	0
2018-12-03	4000.0	112680.0	0
2019-01-02	4000.0	111480.0	0
2019-02-01	4000.0	122880.0	0
2019-03-01	4000.0	119920.0	0
2019-03-04	2000.0	60200.0	0
2019-03-05	75000.0	2265750.0	0
2019-03-07	40000.0	1200800.0	0
2019-04-04	7000.0	214060.0	0
2019-05-01	7000.0	216300.0	0
2019-05-17	12000.0	357120.0	0
2019-05-20	7780.0	230443.6	0
2019-06-03	7000.0	198800.0	0
2019-07-01	7000.0	198800.0	0
2019-08-01	7000.0	203210.0	0
2019-09-03	7000.0	194880.0	0
2019-10-01	7000.0	210420.0	0
2019-11-01	7000.0	203140.0	0
2019-12-02	7000.0	171500.0	0
2020-01-02	7000.0	187810.0	0
2020-02-03	7000.0	186410.0	0
2020-05-11	14110.0	254855.12	1
2020-05-12	6000.0	107100.0	1
2021-03-01	60000.0	1190000.0	1
2021-03-04	35000.0	697763.5	0
2021-05-11	10000.0	240600.0	1
2021-05-13	50000.0	1179000.0	1
2021-11-08	16910.0	448096.399	0
2022-03-09	2000.0	57340.0	0
2022-05-05	16347.0	510575.6592	0
2022-11-07	8005.0	227166.6905	1
2023-05-05	2770.0	84485.0	0
2023-05-08	5000.0	152548.0	0
2023-11-09	10000.0	269050.0	1
2023-11-13	37000.0	1003440.0	1
2023-11-29	5000.0	140496.5	1
2024-05-03	5670.0	166811.40000000002	0
2025-02-24	16536.0	563955.8049999999	0
2025-03-03	6103.0	210553.5	0
2025-05-09	1900.0	71392.5	1
2025-05-12	800.0	29380.0	1
2025-11-06	6200.0	240746.0	0
