Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2026-02-26 16:00:00-05:00	-0.02		
2025-11-04 16:00:00-05:00	0.35	0.37	6.05
2025-07-29 16:00:00-04:00	0.18	1.84	938.61
2025-05-08 16:00:00-04:00	0.72	-1.58	-320.24
2025-02-26 17:00:00-05:00	-0.08	1.27	1692.25
2024-11-12 16:00:00-05:00	-0.29	-0.2	32.0
2024-08-01 16:00:00-04:00	0.09	-0.7	-876.56
2024-05-09 16:00:00-04:00	0.87	1.32	51.16
2024-02-28 16:00:00-05:00	0.02	-0.04	-256.12
2023-11-08 16:00:00-05:00	-0.19	-0.07	64.26
2023-08-08 16:00:00-04:00	-0.08	-0.1	-24.67
2023-05-10 16:00:00-04:00	-0.11	-0.04	63.64
2023-03-16 18:00:00-04:00	-0.17	-0.25	-47.59
2022-11-08 16:00:00-05:00	-0.18	-0.31	-74.9
2022-08-08 16:00:00-04:00	-0.07	-2.23	-3174.72
2022-05-04 16:00:00-04:00	0.22	-0.02	-109.09
2022-03-01 16:00:00-05:00	0.36	0.36	0.7
2021-11-10 09:00:00-05:00	0.32	0.85	168.42
2021-08-13 16:00:00-04:00	0.1	-0.93	-1030.0
2021-05-10 16:00:00-04:00	0.02	0.87	4250.0
2021-03-16 08:00:00-04:00	-0.01	-0.1	-900.0
2017-08-14 16:00:00-04:00	-1.44	-1.44	
2017-05-15 16:00:00-04:00	-1.44	-2.08	-44.44
2017-03-30 17:00:00-04:00	-3.04	-3.04	
2016-11-14 16:00:00-05:00	-1.6	-3.36	-110.0
